Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
EBT Incl. Unusual Items,4890,1629.2,6531.1,7423.7,7178.6,7343,12477.3,13922,17671.8,16101.3,TATACONSUM
Income Tax Expense,2155.2,2000.1,1983.1,1858.7,2608.8,2741.9,3172.7,3770.4,4470.4,3947.3,TATACONSUM
Earnings from Cont. Ops.,2734.8,-370.9,4548,5565,4569.8,4601.1,9304.6,10151.6,13201.4,12154,TATACONSUM
Earnings of Discontinued Ops.,,,,,,,,,,,TATACONSUM
Extraord. Item & Account. Change,,,,,,,,,,,TATACONSUM
Net Income to Company,2734.8,-370.9,4548,5565,4569.8,4601.1,9304.6,10151.6,13201.4,12154,TATACONSUM
Minority Int. in Earnings,-256.6,315.7,-653.6,-609.4,-487.9,-3.5,-737.7,-793.8,-1163.7,-650.7,TATACONSUM
Net Income,2478.2,-55.2,3894.4,4955.6,4081.9,4597.6,8566.9,9357.8,12037.7,11503.3,TATACONSUM
Pref. Dividends and Other Adj.,,,,,,,,,,,TATACONSUM
NI to Common Incl Extra Items,2478.2,-55.2,3894.4,4955.6,4081.9,4597.6,8566.9,9357.8,12037.7,11503.3,TATACONSUM
NI to Common Excl. Extra Items,2478.2,-55.2,3894.4,4955.6,4081.9,4597.6,8566.9,9357.8,12037.7,11503.3,TATACONSUM
Per Share Items,,,,,,,,,,,TATACONSUM
Basic EPS,3.9,-0.1,6.2,7.9,6.5,5,9.3,10.2,13,12.3,TATACONSUM
Basic EPS Excl. Extra Items,3.9,-0.1,6.2,7.9,6.5,5,9.3,10.2,13,12.3,TATACONSUM
Weighted Avg. Basic Shares Out.,631.1,631.1,631.1,631.1,631.1,921.6,921.6,921.6,924.9,933.8,TATACONSUM
Diluted EPS,3.9,-0.1,6.2,7.8,6.5,5,9.3,10.1,13,12.3,TATACONSUM
Diluted EPS Excl. Extra Items,3.9,-0.1,6.2,7.8,6.5,5,9.3,10.1,13,12.3,TATACONSUM
Weighted Avg. Diluted Shares Out.,631.1,631.1,631.1,631.1,631.1,921.6,921.6,921.6,925,934.2,TATACONSUM
Normalized Basic EPS,5.7,5.4,5.3,6.4,6.3,6.7,7.8,8.9,9.4,12,TATACONSUM
Normalized Diluted EPS,5.7,5.4,5.3,6.4,6.3,6.7,7.8,8.9,9.4,12,TATACONSUM
Dividends per Share,2.2,2.2,2.4,2.5,2.5,2.7,4,6,8.4,7.8,TATACONSUM
Payout Ratio %,0.7,,0.5,0.3,0.5,0.4,0.3,0.4,0.5,0.7,TATACONSUM
Revenue,2626297.8,2682793.8,2674204.3,2856154.5,2957910.4,2547815.8,2429241.3,2711233.8,3386551.4,4311524.4,TATAMOTORS
Finance Div. Revenue,22630.8,22318.8,24292.3,26040.3,33995.5,38127.8,40480.4,41118.5,42194.5,38316.8,TATAMOTORS
Other Revenue,,,,38892.7,33691.9,30862.6,28225.8,32183.9,30923.8,29436.5,TATAMOTORS
Total Revenue,2648928.6,2705112.6,2698496.6,2921087.5,3025597.8,2616806.2,2497947.5,2784536.2,3459669.7,4379277.7,TATAMOTORS
Cost Of Goods Sold,1469648.5,1476602.1,1499519.2,1682639,1779069.7,1499248.8,1454775.5,1651660.3,2080348,2459973.5,TATAMOTORS
Gross Profit,1179280.1,1228510.5,1198977.4,1238448.5,1246528.1,1117557.4,1043172,1132875.9,1379321.7,1919304.2,TATAMOTORS
Selling General & Admin Exp.,336174.1,375579,370315.7,392686.8,419735,380528.4,320331.1,356721.7,396900.8,517072.9,TATAMOTORS
R & D Exp.,,,34135.7,35318.7,42245.7,41884.9,52266.3,92095,106619.6,109587.2,TATAMOTORS
Depreciation & Amort.,134495.8,168074.9,179049.9,215535.9,235906.3,214254.3,235467.1,248356.9,248603.6,272701.3,TATAMOTORS
Other Operating Expense/(Income),454299.2,491461.1,459538.1,477032,510900.8,478049.9,345840.4,414679.9,528372.2,666832.7,TATAMOTORS
"Other Operating Exp., Total",924969.1,1035115,1043039.4,1120573.4,1208787.8,1114717.5,953904.9,1111853.5,1280496.2,1566194.1,TATAMOTORS
Operating Income,254311,193395.5,155938,117875.1,37740.3,2839.9,89267.1,21022.4,98825.5,353110.1,TATAMOTORS
Interest Expense,-52231.6,-47912.6,-34845.8,-36998,-44960.5,-62900,-72689.3,-84159.6,-91888.1,-86841,TATAMOTORS
Interest and Invest. Income,7115.2,7633.3,5727.2,7275.8,8037.4,11912.5,5109,6594.4,12976,26917.9,TATAMOTORS
Net Interest Exp.,-45116.4,-40279.3,-29118.6,-29722.2,-36923.1,-50987.5,-67580.3,-77565.2,-78912.1,-59923.1,TATAMOTORS
Income/(Loss) from Affiliates,-1748.3,5774.7,14930,22782.6,2095,-10000,-3789.6,-740.6,3363.8,6998,TATAMOTORS
Currency Exchange Gains (Loss),-20371.3,-20588,-39101,11852.8,-9059.1,-17387.4,17321.5,-786.8,1038.8,-238.4,TATAMOTORS
Other Non-Operating Inc. (Exp.),13474.3,10352.4,-7534.3,-9819.9,-12625.5,-9533.3,-8282.4,-8959,-10366.7,-13016.6,TATAMOTORS
EBT Excl. Unusual Items,200549.3,148655.3,95114.1,112968.4,-18772.4,-85068.3,26936.3,-67029.2,13949.3,286930,TATAMOTORS
Restructuring Charges,,-223,-676.1,-36.8,-17524.6,-3705.2,-154076.2,116.4,-14.5,-866.4,TATAMOTORS
Impairment of Goodwill,,,,,-81.1,,,,,,TATAMOTORS
Gain (Loss) On Sale Of Invest.,1195,1813.9,1818.2,1613.1,3671.5,-5549.1,2141.5,3557.4,4222.2,2870.7,TATAMOTORS
Gain (Loss) On Sale Of Assets,-413.4,-9477.4,,,3769.8,,,-3013.4,2053.9,-309.4,TATAMOTORS
Asset Writedown,-3098.8,,,-16413.8,-280107.7,-13456,10684.1,,-2299.6,-1017.5,TATAMOTORS
Other Unusual Items,,-16383.9,11821.7,36202,-2572,-8021.2,5781.9,-4405.9,16028,-8056.3,TATAMOTORS
EBT Incl. Unusual Items,198232.1,124384.9,108077.9,134332.9,-311616.5,-115799.8,-108532.4,-70774.7,33939.3,279551.1,TATAMOTORS
Income Tax Expense,69149.7,27512.7,32512.3,43419.3,-24374.5,3952.5,25418.6,42312.9,7040.6,-38516.4,TATAMOTORS
Earnings from Cont. Ops.,129082.4,96872.2,75565.6,90913.6,-287242,-119752.3,-133951,-113087.6,26898.7,318067.5,TATAMOTORS
Earnings of Discontinued Ops.,,,,,,,,,,,TATAMOTORS
Extraord. Item & Account. Change,,,,,,,,,,,TATAMOTORS
Net Income to Company,129082.4,96872.2,75565.6,90913.6,-287242,-119752.3,-133951,-113087.6,26898.7,318067.5,TATAMOTORS
Minority Int. in Earnings,-791.2,-988.8,-1022,-1024.5,-1020.3,-956.2,-562.9,-1327.1,-2755.8,-4076.6,TATAMOTORS
Net Income,128291.2,95883.4,74543.6,89889.1,-288262.3,-120708.5,-134513.9,-114414.7,24142.9,313990.9,TATAMOTORS
Pref. Dividends and Other Adj.,,,,,,,,,,,TATAMOTORS
NI to Common Incl Extra Items,128291.2,95883.4,74543.6,89889.1,-288262.3,-120708.5,-134513.9,-114414.7,24142.9,313990.9,TATAMOTORS
NI to Common Excl. Extra Items,128291.2,95883.4,74543.6,89889.1,-288262.3,-120708.5,-134513.9,-114414.7,24142.9,313990.9,TATAMOTORS
Per Share Items,,,,,,,,,,,TATAMOTORS
Basic EPS,39.4,28.4,22,26.5,-84.9,-34.9,-37,-29.9,6.3,82,TATAMOTORS
Basic EPS Excl. Extra Items,39.4,28.4,22,26.5,-84.9,-34.9,-37,-29.9,6.3,82,TATAMOTORS
Weighted Avg. Basic Shares Out.,3252.8,3379.3,3395.7,3395.9,3395.9,3460.9,3636.8,3828.9,3829.6,3830.8,TATAMOTORS
Diluted EPS,39.4,28.4,21.9,26.5,-84.9,-34.9,-37,-29.9,6.3,81.9,TATAMOTORS
Diluted EPS Excl. Extra Items,39.4,28.4,21.9,26.5,-84.9,-34.9,-37,-29.9,6.3,81.9,TATAMOTORS
Weighted Avg. Diluted Shares Out.,3253.5,3380.1,3396.6,3396.6,3395.9,3460.9,3636.8,3828.9,3831.7,3834,TATAMOTORS
Normalized Basic EPS,38.3,27.2,17.2,20.5,-3.8,-15.6,4.5,-11.3,1.6,45.7,TATAMOTORS
Normalized Diluted EPS,38.3,27.2,17.2,20.5,-3.8,-15.6,4.5,-11.3,1.6,45.7,TATAMOTORS
Dividends per Share,,0.2,,,,,,,2,3,TATAMOTORS
Payout Ratio %,0.1,,0,,,,,,,0,TATAMOTORS
Shares per Depository Receipt,5,5,5,5,5,5,5,5,5,5,TATAMOTORS
Revenue,1395037.3,1063399.2,1174199.4,1241096.9,1576689.9,1489717.1,1564774,2439591.7,2433526.9,2272962,TATASTEEL
Other Revenue,,,,,,,,,,18745.8,TATASTEEL
Total Revenue,1395037.3,1063399.2,1174199.4,1241096.9,1576689.9,1489717.1,1564774,2439591.7,2433526.9,2291707.8,TATASTEEL
Cost Of Goods Sold,610302.1,451765.2,439741.2,510422,659214.4,683863.9,623744.2,902774.5,1197875.5,1019157.4,TATASTEEL
Gross Profit,784735.2,611634,734458.2,730674.9,917475.5,805853.2,941029.8,1536817.2,1235651.4,1272550.4,TATASTEEL
Selling General & Admin Exp.,254796.1,203171.8,196163.2,193484.5,222137.8,215047.4,221573,259363.6,253427.5,245095.8,TATASTEEL
Provision for Bad Debts,,,,,,,,,,,TATASTEEL
R & D Exp.,,,,,,,,,,,TATASTEEL
Depreciation & Amort.,59436,53063.5,56728.8,57417,73418.3,87076.7,92336.4,91008.7,93352,98821.6,TATASTEEL
Other Operating Expense/(Income),404010.1,327672.4,373982.5,341252.6,393645.4,419802,432177.3,629225.5,675957.9,804395.6,TATASTEEL
"Other Operating Exp., Total",718242.2,583907.7,626874.5,592154.1,689201.5,721926.1,746086.7,979597.8,1022737.4,1148313,TATASTEEL
Operating Income,66493,27726.3,107583.7,138520.8,228274,83927.1,194943.1,557219.4,212914,124237.4,TATASTEEL
Interest Expense,-44307.9,-42214.1,-50722,-54547.4,-76601,-75807.2,-76067.1,-54622,-62987,-75075.7,TATASTEEL
Interest and Invest. Income,2755.8,1850.7,2577.9,2892.3,3508.3,14411.5,3224.6,2790.7,3853,,TATASTEEL
Net Interest Exp.,-41552.1,-40363.4,-48144.1,-51655.1,-73092.7,-61395.7,-72842.5,-51831.3,-59134,-75075.7,TATASTEEL
Income/(Loss) from Affiliates,166.9,-1104.2,76.5,2391.2,2247,1879.7,3273.4,6491.6,4181.2,-579.8,TATASTEEL
Currency Exchange Gains (Loss),,-1106.5,5765.7,18394.1,-7858.9,7221.2,18951.7,-13315.9,16578.1,,TATASTEEL
Other Non-Operating Inc. (Exp.),-4169.6,93.7,-483.9,-386.6,942.9,2423.3,1978.6,2087.8,4003.9,18088.5,TATASTEEL
EBT Excl. Unusual Items,20938.2,-14754.1,64797.9,107264.4,150512.3,34055.6,146304.3,500651.6,178543.2,66670.4,TATASTEEL
Restructuring Charges,,64264.2,-38211.7,137430.6,2092.3,-2727.7,-3560.5,-5870.5,-936.4,-43926.1,TATASTEEL
Merger & Related Restruct. Charges,,,,,,,,,-12.9,,TATASTEEL
Impairment of Goodwill,-12728.2,,,,,-1068.2,-1172,,,,TATASTEEL
Gain (Loss) On Sale Of Invest.,13889.5,1584,2151.7,6535.1,5368.4,-1480.8,2477.4,1517.1,4100.3,380.7,TATASTEEL
Gain (Loss) On Sale Of Assets,13470.5,335.6,860.2,-502.3,4466.3,1986.3,1638.4,8510,232.9,564.5,TATASTEEL
Asset Writedown,-48369,-15301.7,-2679.3,-9030.1,-95.7,-42605.5,-7250.7,-2539.5,424.1,-35159.9,TATASTEEL
Other Unusual Items,-915,-8800.5,-2182.5,-32136.8,-3286.4,-1964.1,,,,,TATASTEEL
EBT Incl. Unusual Items,-13714,27327.5,24736.3,209560.9,159057.2,-13804.4,138436.9,502268.7,182351.2,-11470.4,TATASTEEL
Income Tax Expense,25674.1,6899.6,27780.1,33923.3,67184.3,-25529,56539,84775.5,101597.7,37625.7,TATASTEEL
Earnings from Cont. Ops.,-39388.1,20427.9,-3043.8,175637.6,91872.9,11724.6,81897.9,417493.2,80753.5,-49096.1,TATASTEEL
Earnings of Discontinued Ops.,,-25398.8,-38641.9,1790.7,-651.2,,,,,,TATASTEEL
Extraord. Item & Account. Change,,,,,,,,,,,TATASTEEL
Net Income to Company,-39388.1,-4970.9,-41685.7,177428.3,91221.7,11724.6,81897.9,417493.2,80753.5,-49096.1,TATASTEEL
Minority Int. in Earnings,132.9,1143.1,-722.3,-43085,10961.6,3840.8,-6995.7,-15953.9,6850.5,4721.7,TATASTEEL
Net Income,-39255.2,-3827.8,-42408,134343.3,102183.3,15565.4,74902.2,401539.3,87604,-44374.4,TATASTEEL
Pref. Dividends and Other Adj.,1764.6,1740.6,1740.1,1734.3,1731.3,1991.8,1813.5,10.9,,,TATASTEEL
NI to Common Incl Extra Items,-41019.8,-5568.4,-44148.1,132609,100452,13573.6,73088.7,401528.4,87604,-44374.4,TATASTEEL
NI to Common Excl. Extra Items,-41019.8,19830.4,-5506.2,130818.3,101103.2,13573.6,73088.7,401528.4,87604,-44374.4,TATASTEEL
Per Share Items,,,,,,,,,,,TATASTEEL
Basic EPS,-4.2,-0.6,-4.6,12.8,8.8,1.2,6.4,33.2,7.2,-3.6,TATASTEEL
Basic EPS Excl. Extra Items,-4.2,2,-0.6,12.6,8.8,1.2,6.4,33.2,7.2,-3.6,TATASTEEL
Weighted Avg. Basic Shares Out.,9712.2,9701.4,9700.5,10350.3,11447.5,11447.5,11459,12081.4,12210.1,12258.1,TATASTEEL
Diluted EPS,-4.2,-0.6,-4.6,12.8,8.8,1.2,6.4,33.2,7.2,-3.6,TATASTEEL
Diluted EPS Excl. Extra Items,-4.2,2,-0.6,12.6,8.8,1.2,6.4,33.2,7.2,-3.6,TATASTEEL
Weighted Avg. Diluted Shares Out.,9712.2,9701.4,9700.5,10351.9,11448.8,11448.4,11460.1,12090.9,12213.8,12258.1,TATASTEEL
Normalized Basic EPS,1.4,-0.8,4.1,2.3,9.2,2.2,7.4,24.6,9.7,3.8,TATASTEEL
Normalized Diluted EPS,1.4,-0.8,4.1,2.3,9.2,2.2,7.4,24.6,9.7,3.8,TATASTEEL
Dividends per Share,0.8,0.8,1,1,1.3,1,2.5,5.1,3.6,3.6,TATASTEEL
Payout Ratio %,,,,0.1,0.1,1.1,0.2,0.1,0.7,,TATASTEEL
Revenue,226213,264942,291408,307729,347421,368677,378551,446460,532902,519955,TECHM
Other Revenue,,,,,,,,,,,TECHM
Total Revenue,226213,264942,291408,307729,347421,368677,378551,446460,532902,519955,TECHM
Cost Of Goods Sold,150054,178310,193619,208567,222145,242508,247932,297869,363129,358172,TECHM
Gross Profit,76159,86632,97789,99162,125276,126169,130619,148591,169773,161783,TECHM
Selling General & Admin Exp.,3883,5516,6491,5884,5950,3485,1799,2202,2744,,TECHM
Provision for Bad Debts,712,186,2679,1033,1626,1172,1842,630,1761,,TECHM
R & D Exp.,,,,,,,,,,,TECHM
Depreciation & Amort.,6083,7589,9781,10850,11292,14458,14577,15204,19567,18171,TECHM
Other Operating Expense/(Income),29061,37223,46501,44695,54039,63859,58101,65144,84676,112138,TECHM
"Other Operating Exp., Total",39739,50514,65452,62462,72907,82974,76319,83180,108748,130309,TECHM
Operating Income,36420,36118,32337,36700,52369,43195,54300,65411,61025,31474,TECHM
Interest Expense,-257,-387,-638,-896,-1117,-1537,-1466,-1411,-2898,-3922,TECHM
Interest and Invest. Income,1965,1843,1851,2038,2320,2775,3256,995,1078,9590,TECHM
Net Interest Exp.,1708,1456,1213,1142,1203,1238,1790,-416,-1820,5668,TECHM
Income/(Loss) from Affiliates,1,26,-23,1,-655,-55,12,28,-290,105,TECHM
Currency Exchange Gains (Loss),-2234,1008,3876,7750,121,3022,975,5633,2990,-421,TECHM
Other Non-Operating Inc. (Exp.),296,-149,1045,436,-121,1722,622,1219,3826,,TECHM
EBT Excl. Unusual Items,36191,38459,38448,46029,52917,49122,57699,71875,65731,36826,TECHM
Impairment of Goodwill,,,,,,-1456,-507,,-2370,-4582,TECHM
Gain (Loss) On Sale Of Invest.,,-1,82,1108,2361,2063,1593,2583,1052,,TECHM
Gain (Loss) On Sale Of Assets,-9,109,,1651,154,1568,744,63,42,,TECHM
Asset Writedown,,,,,,-719,,,,,TECHM
Other Unusual Items,,,,,,,,,,,TECHM
EBT Incl. Unusual Items,36182,38567,38530,48788,55432,50578,59529,74521,64455,32244,TECHM
Income Tax Expense,9595,8301,10021,10926,12544,11604,15999,18220,15885,8276,TECHM
Earnings from Cont. Ops.,26587,30266,28509,37862,42888,38974,43530,56301,48570,23968,TECHM
Earnings of Discontinued Ops.,,,,,,,,,,,TECHM
Extraord. Item & Account. Change,,,,,,,,,,,TECHM
Net Income to Company,26587,30266,28509,37862,42888,38974,43530,56301,48570,23968,TECHM
Minority Int. in Earnings,-310,-337,-380,136,88,1356,750,-640,-257,-390,TECHM
Net Income,26277,29929,28129,37998,42976,40330,44280,55661,48313,23578,TECHM
Pref. Dividends and Other Adj.,,,,,,,,,,,TECHM
NI to Common Incl Extra Items,26277,29929,28129,37998,42976,40330,44280,55661,48313,23578,TECHM
NI to Common Excl. Extra Items,26277,29929,28129,37998,42976,40330,44280,55661,48313,23578,TECHM
Per Share Items,,,,,,,,,,,TECHM
Basic EPS,27.5,34.5,32.1,43,48.5,46.2,50.6,63.3,54.8,26.7,TECHM
Basic EPS Excl. Extra Items,27.5,34.5,32.1,43,48.5,46.2,50.6,63.3,54.8,26.7,TECHM
Weighted Avg. Basic Shares Out.,957,867.3,875.3,883.3,886.6,872.7,874.4,879,882.2,884.4,TECHM
Diluted EPS,26.7,33.7,31.6,42.7,47.7,45.8,50.2,62.8,54.5,26.6,TECHM
Diluted EPS Excl. Extra Items,26.7,33.7,31.6,42.7,47.7,45.8,50.2,62.8,54.5,26.6,TECHM
Weighted Avg. Diluted Shares Out.,982.8,887.7,888.9,890.6,900.6,879.6,882.2,886.2,885.8,887.1,TECHM
Normalized Basic EPS,23.3,27.3,27,32.7,37.4,36.7,42.1,50.4,46.3,25.6,TECHM
Normalized Diluted EPS,22.7,26.7,26.6,32.5,36.8,36.4,41.7,50,46.1,25.5,TECHM
Dividends per Share,6,6,9,14,14,15,15,15,32,40,TECHM
Payout Ratio %,0.2,0.2,0.4,0.2,0.3,0.6,0.4,0.5,0.5,1.7,TECHM
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,TECHM
Revenue,119134.1,112758.9,132608.3,161197.7,197785.2,210520,216440,287990,405750,510840,TITAN
Other Revenue,,,,,,,,,,,TITAN
Total Revenue,119134.1,112758.9,132608.3,161197.7,197785.2,210520,216440,287990,405750,510840,TITAN
Cost Of Goods Sold,87514.9,81807.4,95074.3,117135.2,144274.1,151900,164400,216800,303990,394870,TITAN
Gross Profit,31619.2,30951.5,37534,44062.5,53511.1,58620,52040,71190,101760,115970,TITAN
Selling General & Admin Exp.,6774.2,8816.6,9828.6,15960.4,18458.6,17870,13860,19660,26480,30600,TITAN
Provision for Bad Debts,,,,,,,,,,,TITAN
R & D Exp.,,,,,,,,,,,TITAN
Depreciation & Amort.,895.6,981.9,1105.3,1314.3,1628.4,3480,3750,3990,4410,5840,TITAN
Other Operating Expense/(Income),13314.2,12750.1,16003.5,11599.9,13643,16050,20570,17910,26460,32390,TITAN
"Other Operating Exp., Total",20984,22548.6,26937.4,28874.6,33730,37400,38180,41560,57350,68830,TITAN
Operating Income,10635.2,8402.9,10596.6,15187.9,19781.1,21220,13860,29630,44410,47140,TITAN
Interest Expense,-806.9,-423.6,-377.4,-529.2,-525.4,-1660,-2030,-2180,-3000,-6190,TITAN
Interest and Invest. Income,642.2,575.5,513.7,642.2,1036.9,980,610,960,1430,2490,TITAN
Net Interest Exp.,-164.7,151.9,136.3,113,511.5,-680,-1420,-1220,-1570,-3700,TITAN
Income/(Loss) from Affiliates,0.1,-20,-17.7,-27.7,-21.6,-40,-50,,10,10,TITAN
Currency Exchange Gains (Loss),-5.1,8.5,-62.9,-32.5,,-30,,,,,TITAN
Other Non-Operating Inc. (Exp.),62.9,82.1,63.4,51,297.9,230,70,180,570,800,TITAN
EBT Excl. Unusual Items,10528.4,8625.4,10715.7,15291.7,20568.9,20700,12460,28590,43420,44250,TITAN
Restructuring Charges,,,-1026.9,-166.5,,,,-510,,,TITAN
Impairment of Goodwill,,,,,,,,,,,TITAN
Gain (Loss) On Sale Of Invest.,2.4,81.6,127.8,195.4,-1004.1,320,570,870,1060,2030,TITAN
Gain (Loss) On Sale Of Assets,-41.8,-45.9,-84.1,-22.8,4.1,,-60,-30,-30,,TITAN
Asset Writedown,,,,,,,-310,-180,,-60,TITAN
Other Unusual Items,,,,,,,610,300,20,10,TITAN
EBT Incl. Unusual Items,10489,8661.1,9732.5,15297.8,19568.9,21020,13270,29040,44470,46230,TITAN
Income Tax Expense,2326.4,1915.9,2759.7,4278.7,5682.4,6090,3530,7060,11730,11270,TITAN
Earnings from Cont. Ops.,8162.6,6745.2,6972.8,11019.1,13886.5,14930,9740,21980,32740,34960,TITAN
Earnings of Discontinued Ops.,,,,,,,,,,,TITAN
Extraord. Item & Account. Change,,,,,,,,,,,TITAN
Net Income to Company,8162.6,6745.2,6972.8,11019.1,13886.5,14930,9740,21980,32740,34960,TITAN
Minority Int. in Earnings,,,141.9,281.8,155,80,-10,-250,-240,,TITAN
Net Income,8162.6,6745.2,7114.7,11300.9,14041.5,15010,9730,21730,32500,34960,TITAN
Pref. Dividends and Other Adj.,,,,,,,,,,,TITAN
NI to Common Incl Extra Items,8162.6,6745.2,7114.7,11300.9,14041.5,15010,9730,21730,32500,34960,TITAN
NI to Common Excl. Extra Items,8162.6,6745.2,7114.7,11300.9,14041.5,15010,9730,21730,32500,34960,TITAN
Per Share Items,,,,,,,,,,,TITAN
Basic EPS,9.2,7.6,8,12.7,15.8,16.9,11,24.5,36.6,39.4,TITAN
Basic EPS Excl. Extra Items,9.2,7.6,8,12.7,15.8,16.9,11,24.5,36.6,39.4,TITAN
Weighted Avg. Basic Shares Out.,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.4,TITAN
Diluted EPS,9.2,7.6,8,12.7,15.8,16.9,11,24.5,36.6,39.4,TITAN
Diluted EPS Excl. Extra Items,9.2,7.6,8,12.7,15.8,16.9,11,24.5,36.6,39.4,TITAN
Weighted Avg. Diluted Shares Out.,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.8,887.7,TITAN
Normalized Basic EPS,7.4,6.1,7.7,11.1,14.7,14.7,8.8,19.8,30.3,31.2,TITAN
Normalized Diluted EPS,7.4,6.1,7.7,11.1,14.7,14.7,8.8,19.8,30.3,31.2,TITAN
Dividends per Share,2.3,2.2,2.6,3.8,5,4,4,7.5,10,11,TITAN
Payout Ratio %,0.2,0.6,0,0.2,0.3,0.3,0.4,0.2,0.2,0.3,TITAN
Supplemental Items,,,,,,,,,,,TITAN
Revenue,240557.7,251532.4,253749.4,309786.2,416088.1,424298.9,447258,525988.3,632399.8,709081.4,ULTRACEMCO
Other Revenue,250.4,,,,,,,,,,ULTRACEMCO
Total Revenue,240808.1,251532.4,253749.4,309786.2,416088.1,424298.9,447258,525988.3,632399.8,709081.4,ULTRACEMCO
Cost Of Goods Sold,95989.8,95058.2,93172.6,122238.2,172048.7,159221.4,154169.9,201022.5,282062.8,301862.4,ULTRACEMCO
Gross Profit,144818.3,156474.2,160576.8,187548,244039.4,265077.5,293088.1,324965.8,350337,407219,ULTRACEMCO
Selling General & Admin Exp.,68584.3,75672,75740.2,92789.7,127942.8,124424.8,124507.5,143064.3,168030.2,189182.5,ULTRACEMCO
R & D Exp.,,,,,,,,,,,ULTRACEMCO
Depreciation & Amort.,11661.1,13163.2,13077.6,18050.1,24115.2,26400.5,25912,26183.9,28105.2,31453,ULTRACEMCO
Other Operating Expense/(Income),32335.6,31789,31320.3,33263.7,42625,47325.3,53445.6,66704.5,76657.2,88350.9,ULTRACEMCO
"Other Operating Exp., Total",112581,120624.2,120138.1,144103.5,194683,198150.6,203865.1,235952.7,272792.6,308986.4,ULTRACEMCO
Operating Income,32237.3,35850,40438.7,43444.5,49356.4,66926.9,89223,89013.1,77544.4,98232.6,ULTRACEMCO
Interest Expense,-5818.7,-5635.3,-6169.5,-12316.1,-17707.1,-19285.7,-14928.4,-8856.9,-7619.5,-9680,ULTRACEMCO
Interest and Invest. Income,372.8,621.3,579.1,661.1,1187.9,1422.2,1007.6,1637,2724.5,,ULTRACEMCO
Net Interest Exp.,-5445.9,-5014,-5590.4,-11655,-16519.2,-17863.5,-13920.8,-7219.9,-4895,-9680,ULTRACEMCO
Income/(Loss) from Affiliates,,0.1,0.2,-1.3,5.4,-12.3,21.8,17,40.3,220.1,ULTRACEMCO
Currency Exchange Gains (Loss),99,33.5,-13.6,265.8,769.7,288.7,369.7,-1103.3,506.3,,ULTRACEMCO
Other Non-Operating Inc. (Exp.),177.7,37.2,-177,34.2,154.6,461.4,258.7,386.1,212.7,6169.5,ULTRACEMCO
EBT Excl. Unusual Items,27068.1,30906.8,34657.9,32088.2,33766.9,49801.2,75952.4,81093,73408.7,94942.2,ULTRACEMCO
Merger & Related Restruct. Charges,,,,-2262.8,-1138.8,,,,,,ULTRACEMCO
Impairment of Goodwill,,-18.6,-16.4,,,,,,,,ULTRACEMCO
Gain (Loss) On Sale Of Invest.,2976.2,3913.1,4469,3783.8,2424.4,3707.5,5736.5,2888.2,976.2,,ULTRACEMCO
Gain (Loss) On Sale Of Assets,,1.7,0.1,-454.6,24.1,,41.1,32.2,3.4,,ULTRACEMCO
Asset Writedown,-373.1,-589.9,-390.1,-1177.8,-392.1,-374.9,-546.2,-369.4,-225.8,,ULTRACEMCO
Insurance Settlements,185.1,,,,,,,,,,ULTRACEMCO
Legal Settlements,,,,1037.9,,,,,,,ULTRACEMCO
Other Unusual Items,,,,,,-1306.6,-2607.4,,,-720,ULTRACEMCO
EBT Incl. Unusual Items,29856.3,34213.1,38720.5,33014.7,34684.5,51827.2,78576.4,83644,74162.5,94222.2,ULTRACEMCO
Income Tax Expense,8835.2,9416.9,11585.4,10770.1,10680.7,-5681.6,25387,11900.6,23428.5,24182.6,ULTRACEMCO
Earnings from Cont. Ops.,21021.1,24796.2,27135.1,22244.6,24003.8,57508.8,53189.4,71743.4,50734,70039.6,ULTRACEMCO
Earnings of Discontinued Ops.,,,,,0,0,1429.1,1599.2,,,ULTRACEMCO
Extraord. Item & Account. Change,,,,,,,,,,,ULTRACEMCO
Net Income to Company,21021.1,24796.2,27135.1,22244.6,24003.8,57508.8,54618.5,73342.6,50734,70039.6,ULTRACEMCO
Minority Int. in Earnings,-37.7,-15.8,14.1,-22.9,31.3,43.8,12.5,100.5,-94.4,10.4,ULTRACEMCO
Net Income,20983.4,24780.4,27149.2,22221.7,24035.1,57552.6,54631,73443.1,50639.6,70050,ULTRACEMCO
Pref. Dividends and Other Adj.,,,,,,,,,,,ULTRACEMCO
NI to Common Incl Extra Items,20983.4,24780.4,27149.2,22221.7,24035.1,57552.6,54631,73443.1,50639.6,70050,ULTRACEMCO
NI to Common Excl. Extra Items,20983.4,24780.4,27149.2,22221.7,24035.1,57552.6,53201.9,71843.9,50639.6,70050,ULTRACEMCO
Per Share Items,,,,,,,,,,,ULTRACEMCO
Basic EPS,76.5,90.3,98.9,80.9,84,199.5,189.4,254.6,175.6,243,ULTRACEMCO
Basic EPS Excl. Extra Items,76.5,90.3,98.9,80.9,84,199.5,184.4,249.1,175.6,243,ULTRACEMCO
Weighted Avg. Basic Shares Out.,274.4,274.4,274.5,274.5,286.1,288.4,288.4,288.4,288.3,288.2,ULTRACEMCO
